CoPt_E_rep1	CoPt_E_rep2	CoPt_E_rep3	CoPt_E_rep4	CoPt_H_rep1	CoPt_H_rep2	CoPt_H_rep3	CoPt_H_rep4	Falu_E_rep1	Falu_E_rep3	Falu_E_rep4	Falu_E_rep6	Falu_H_rep1	Falu_H_rep4	Falu_H_rep6	Ftele_E_rep3	Ftele_E_rep5	Ftele_E_rep6	Ftele_H_rep1	Ftele_H_rep3	Ftele_H_rep5	Ftele_H_rep6
aten_0.1.m1.9148.m1	0.120351940365222	0.456280481510725	0.10969486482593	0.693319678811575	0.2904244038653	0	2.84979914918894	1.86710572950265	0.62105550329974	0.414676780426886	0.0538064436957938	0.191562650700756	1.15769051358205	0.60502015306241	3.56912648346323	0.140124223909071	0.14535138557262	0	0.827006009638977	3.85937327003899	0.101650076094435	0.149259365499623
aten_0.1.m1.757.m1	5.4838802538141	6.21639665949075	6.32905181863336	7.02428643086242	4.16494714061113	2.71149490665009	4.38411889973073	3.65946793708479	6.79398689324419	6.66241915312174	6.70599172053436	6.50180534576386	2.77399632511117	3.461790462903	3.25897110933838	7.521898762138	5.94946489757726	6.90412277677229	4.2227272938176	4.36296075638983	3.16124275834251	4.71479501111816
aten_0.1.m1.17363.m1	1.50842865253186	1.73161772284062	1.92865456990017	2.19124678971627	3.09102275091852	3.28273632027634	3.19377174339668	3.06488285158485	2.58904435676777	2.18173865968866	2.6378420603241	2.34482849699744	3.14045147695366	3.02733101501709	3.46048047004001	2.98167002210513	2.5119739817818	2.18523225423016	3.00234247669418	4.04622910920995	3.60193417318867	2.81434533496322
aten_0.1.m1.2621.m1	1.44678556214312	1.45890690685087	0.965691949224704	0.656267534794289	0	0	0.126972856257766	0	1.61164454337366	0.783247097378116	1.00432160595009	0.140124223909071	0	0	0.699551632523089	1.15445359267987	1.50487458939846	0.863145542989399	0.249748715083569	0	0.510961919277379	0.930548119247855
aten_0.1.m1.31103.m1	1.38956681176273	2.58952381673924	1.69510298564048	1.00934717225925	0.532067552289031	0.715454127115718	0.337996463515016	0.598365205323645	2.15930625464117	1.59598097896562	2.14339341869319	1.78701447377343	0.269033146455237	0	0	1.81229284487327	2.10768786931437	0.660837367696284	0.710172748279662	0	0.997834332781885	0
aten_0.1.m1.25836.m1	2.76447355099267	2.94729211089273	2.81844157576416	3.12084956441415	1.23327453899093	0.812292844873271	1.52406367577721	1.14730669878029	2.59526494203758	2.90188056371866	2.78889447916044	2.93659082982394	0.200378797984026	0.733788168625182	1.34255474547732	3.10969486482593	2.14012422390907	2.70332222667421	1.39670752138398	0.822934048028371	1.49467161164755	0.643394453479892
aten_0.1.m1.5991.m1	1.44678556214312	3.12482438967919	2.14469902515414	2.01542620360961	0.661749599810705	1.83511561525822	0.535057594894842	0.374065718222538	2.81003172801094	2.43536189749141	1.51349074558812	1.65306001710456	0.43722773891291	0	0.246104009883917	1.22280456104526	1.7986726789578	1.30567874324229	0	0	0	0
aten_0.1.m1.3214.m1	3.89994898618967	4.66687018544739	4.3278310517456	4.32315386479368	2.77568270173906	3.42747208708629	2.50487458939846	1.35501626421955	4.56730205750552	4.05250284277499	4.45759429185641	4.67835365397417	2.59407075685154	2.10165007609443	2.66288907940622	3.94934816428856	3.40476690961225	3.40285858256035	2.28835856219366	2.09288396567848	1.64431777833758	2.65741135079085
aten_0.1.m1.7574.m1	0	0	0	0.151858816727005	2.23786960086751	1.75189213840431	1.13027195451886	0.779890039340047	0	0	0	0.254594043033141	1.57434375392001	0.511973981781801	1.69821847822441	0	0	0	1.63876894441695	1.16221003631431	0.864730922314751	2.01578299724093
aten_0.1.m1.27444.m1	2.79472776669526	3.31556623031895	2.89375050172057	3.60490158350895	0.468843942974637	2.60383401878455	1.49722912878761	1.73161772284062	3.35529823334795	2.97911075501579	2.71830682186701	3.38667301492272	1.26243315763135	0.60502015306241	0	2.58784500925428	3.02378761389678	3.32826202860941	1.84639302085236	0.67626740826589	1.01863417413905	2.08542465625268
aten_0.1.m1.22189.m1	3.85648777949568	3.87095647309494	3.74437640712083	4.04456898088717	0.919912088677308	0.892196710465485	1.29454723389552	1.02005765234125	3.83663110442824	4.12746820219942	3.16703672211749	3.28125313412649	1.15769051358205	0.692427198089708	1.33285112207215	3.4883864666099	4.69877410890368	3.9667995846272	2.41006969175638	2.07860983469637	2.18966644665005	2.34397626006754
aten_0.1.m1.14541.m1	6.08406426478847	6.75262818342112	6.83324431680607	6.35584439175799	7.25079107691271	8.67057835918544	8.44072800493117	9.54362154151677	6.29964762989091	6.614533176763	5.0372504228915	6.54758863805966	8.23243531807728	6.08951933687716	8.18265754054023	5.18388345903223	6.7008974237623	7.54979236743387	7.865615747498	7.12515513132229	7.8256202879879	8.18513807787358
