V1,V2
aten_0.1.m1.10723.m1,1.38490013754035
aten_0.1.m1.10733.m1,6.50117523076544
aten_0.1.m1.10745.m1,-1.42261870831938
aten_0.1.m1.10747.m1,2.02758390702746
aten_0.1.m1.10750.m1,3.08836089821701
aten_0.1.m1.10797.m1,3.77464819592084
aten_0.1.m1.10804.m1,-3.72461620842351
aten_0.1.m1.10805.m1,-1.94669136798391
aten_0.1.m1.10810.m1,-1.32668948061651
aten_0.1.m1.10811.m1,-1.1088340105762
aten_0.1.m1.10812.m1,1.386916710125
aten_0.1.m1.10814.m1,1.46823412995891
aten_0.1.m1.10818.m1,1.13203794240732
aten_0.1.m1.10820.m1,1.92694397932596
aten_0.1.m1.10821.m1,2.337997367806
aten_0.1.m1.10826.m1,4.7543329069799
aten_0.1.m1.1083.m1,-1.6303137101079
aten_0.1.m1.10831.m1,-3.64535289160007
aten_0.1.m1.10832.m1,1.42399730567275
aten_0.1.m1.10844.m1,1.46219664748377
aten_0.1.m1.10845.m1,1.03722136727425
aten_0.1.m1.10851.m1,1.85065149924085
aten_0.1.m1.10852.m1,-1.27169542913934
aten_0.1.m1.10854.m1,-1.15860687246655
aten_0.1.m1.10856.m1,1.58326647585568
aten_0.1.m1.10859.m1,2.15247193047048
aten_0.1.m1.10862.m1,-3.89189832855178
aten_0.1.m1.1088.m1,1.50783550013256
aten_0.1.m1.10884.m1,1.39168507792895
aten_0.1.m1.10885.m1,-1.77027896016539
aten_0.1.m1.10890.m1,1.08327025709698
aten_0.1.m1.10891.m1,2.90895075877426
aten_0.1.m1.10892.m1,3.22358879805811
aten_0.1.m1.10894.m1,3.88994652572016
aten_0.1.m1.10895.m1,-2.0339432840881
aten_0.1.m1.10897.m1,2.75486563773289
aten_0.1.m1.10898.m1,-1.2309475962812
aten_0.1.m1.10900.m1,-3.24263872823039
aten_0.1.m1.10901.m1,2.07286769853951
aten_0.1.m1.10902.m1,0.540952201843835
aten_0.1.m1.10903.m1,-1.89271055011541
aten_0.1.m1.10906.m1,3.85954904370986
aten_0.1.m1.10909.m1,2.87685091674509
aten_0.1.m1.1091.m1,-1.24840099888974
aten_0.1.m1.10911.m1,2.71175407541213
aten_0.1.m1.10913.m1,3.54640361531814
aten_0.1.m1.10931.m1,-1.9147550393536
aten_0.1.m1.10932.m1,2.82369314474501
aten_0.1.m1.10933.m1,-2.0620854151903
aten_0.1.m1.10934.m1,1.79573669528241
aten_0.1.m1.10935.m1,-2.55391629446457
aten_0.1.m1.1094.m1,-2.25046237004433
aten_0.1.m1.10944.m1,2.30658194505573
aten_0.1.m1.10947.m1,2.38808878728188
aten_0.1.m1.1096.m1,-2.14476533633074
aten_0.1.m1.1097.m1,1.72792975203642
aten_0.1.m1.10974.m1,1.63624883242267
aten_0.1.m1.11000.m1,2.10639787014548
aten_0.1.m1.11001.m1,-2.26321800986111
aten_0.1.m1.11003.m1,-1.574594988138
aten_0.1.m1.11004.m1,-3.16967180304017
aten_0.1.m1.11007.m1,-1.92954346881492
aten_0.1.m1.11009.m1,-1.3484839707095
aten_0.1.m1.11011.m1,2.31483330883742
aten_0.1.m1.11020.m1,-1.23890724969705
aten_0.1.m1.11021.m1,-1.73960604805521
aten_0.1.m1.11022.m1,-2.37650586063797
aten_0.1.m1.11024.m1,-1.74688140104326
aten_0.1.m1.1103.m1,-3.07923160019986
aten_0.1.m1.11030.m1,-2.95969418058458
aten_0.1.m1.11034.m1,0.876983887347454
aten_0.1.m1.11036.m1,2.38430636176123
aten_0.1.m1.11037.m1,1.62549359237568
aten_0.1.m1.1104.m1,1.19479500360293
aten_0.1.m1.11043.m1,-2.41338830733429
aten_0.1.m1.1105.m1,0.588425912968716
aten_0.1.m1.11051.m1,-2.39441188016807
aten_0.1.m1.11053.m1,1.47903891842191
aten_0.1.m1.11054.m1,1.06259456975341
