V1,signif
aten_0.1.m1.10968.m1,1
aten_0.1.m1.1097.m1,1
aten_0.1.m1.10974.m1,1
aten_0.1.m1.10981.m1,1
aten_0.1.m1.10996.m1,1
aten_0.1.m1.11000.m1,1
aten_0.1.m1.11001.m1,1
aten_0.1.m1.11003.m1,1
aten_0.1.m1.11004.m1,1
aten_0.1.m1.11005.m1,1
aten_0.1.m1.11007.m1,1
aten_0.1.m1.11009.m1,1
aten_0.1.m1.11011.m1,1
aten_0.1.m1.11013.m1,1
aten_0.1.m1.11016.m1,1
aten_0.1.m1.11019.m1,1
aten_0.1.m1.11020.m1,1
aten_0.1.m1.11021.m1,1
aten_0.1.m1.11022.m1,1
aten_0.1.m1.11024.m1,1
aten_0.1.m1.11025.m1,1
aten_0.1.m1.1103.m1,1
aten_0.1.m1.11030.m1,1
aten_0.1.m1.11032.m1,1
aten_0.1.m1.11034.m1,1
aten_0.1.m1.11037.m1,1
aten_0.1.m1.1104.m1,1
aten_0.1.m1.11043.m1,1
aten_0.1.m1.11051.m1,1
aten_0.1.m1.11053.m1,1
aten_0.1.m1.11054.m1,1
aten_0.1.m1.11056.m1,1
aten_0.1.m1.11057.m1,1
aten_0.1.m1.11058.m1,1
aten_0.1.m1.11060.m1,1
aten_0.1.m1.11063.m1,1
aten_0.1.m1.11064.m1,1
aten_0.1.m1.11066.m1,1
aten_0.1.m1.11067.m1,1
aten_0.1.m1.11068.m1,1
aten_0.1.m1.11069.m1,1
aten_0.1.m1.11074.m1,1
aten_0.1.m1.11075.m1,1
aten_0.1.m1.11076.m1,1
aten_0.1.m1.11080.m1,1
aten_0.1.m1.11081.m1,1
aten_0.1.m1.11082.m1,1
aten_0.1.m1.11083.m1,1
aten_0.1.m1.11084.m1,1
aten_0.1.m1.11085.m1,1
aten_0.1.m1.11086.m1,1
aten_0.1.m1.11089.m1,1
aten_0.1.m1.11092.m1,1
aten_0.1.m1.11093.m1,1
aten_0.1.m1.11094.m1,1
aten_0.1.m1.11098.m1,1
aten_0.1.m1.11099.m1,1
aten_0.1.m1.11100.m1,1
aten_0.1.m1.11101.m1,1
aten_0.1.m1.11102.m1,1
aten_0.1.m1.11104.m1,1
aten_0.1.m1.11106.m1,1
aten_0.1.m1.11107.m1,1
aten_0.1.m1.1111.m1,1
aten_0.1.m1.11110.m1,1
aten_0.1.m1.11112.m1,1
aten_0.1.m1.11114.m1,1
aten_0.1.m1.11117.m1,1
aten_0.1.m1.11119.m1,1
aten_0.1.m1.11122.m1,1
aten_0.1.m1.11125.m1,1
aten_0.1.m1.1113.m1,1
aten_0.1.m1.11130.m1,1
aten_0.1.m1.11132.m1,1
aten_0.1.m1.11133.m1,1
aten_0.1.m1.11143.m1,1
aten_0.1.m1.11144.m1,1
aten_0.1.m1.11164.m1,1
aten_0.1.m1.11166.m1,1
aten_0.1.m1.11167.m1,1
aten_0.1.m1.11175.m1,1
aten_0.1.m1.11176.m1,1
aten_0.1.m1.11178.m1,1
aten_0.1.m1.11179.m1,1
aten_0.1.m1.11180.m1,1
aten_0.1.m1.11181.m1,1
aten_0.1.m1.11183.m1,1
aten_0.1.m1.11185.m1,1
aten_0.1.m1.11186.m1,1
aten_0.1.m1.11187.m1,1
aten_0.1.m1.11188.m1,1
aten_0.1.m1.11193.m1,1
aten_0.1.m1.11194.m1,1
aten_0.1.m1.11197.m1,1
aten_0.1.m1.1120.m1,1
aten_0.1.m1.11200.m1,1
aten_0.1.m1.11202.m1,1
aten_0.1.m1.11203.m1,1
aten_0.1.m1.11204.m1,1
aten_0.1.m1.11208.m1,1
aten_0.1.m1.1121.m1,1
aten_0.1.m1.11212.m1,1
aten_0.1.m1.11213.m1,1
aten_0.1.m1.11215.m1,1
aten_0.1.m1.11218.m1,1
aten_0.1.m1.11219.m1,1
aten_0.1.m1.11222.m1,1
aten_0.1.m1.11223.m1,1
aten_0.1.m1.11224.m1,1
aten_0.1.m1.11229.m1,1
aten_0.1.m1.11248.m1,1
aten_0.1.m1.11251.m1,1
aten_0.1.m1.11253.m1,1
aten_0.1.m1.1126.m1,1
aten_0.1.m1.11271.m1,1
aten_0.1.m1.11282.m1,1
aten_0.1.m1.11283.m1,1
aten_0.1.m1.1129.m1,1
aten_0.1.m1.11296.m1,1
aten_0.1.m1.11298.m1,1
aten_0.1.m1.1130.m1,1
aten_0.1.m1.11300.m1,1
aten_0.1.m1.11304.m1,1
aten_0.1.m1.11307.m1,1
aten_0.1.m1.11308.m1,1
aten_0.1.m1.11309.m1,1
aten_0.1.m1.11310.m1,1
aten_0.1.m1.11313.m1,1
aten_0.1.m1.1132.m1,1
aten_0.1.m1.11321.m1,1
aten_0.1.m1.11322.m1,1
aten_0.1.m1.11323.m1,1
aten_0.1.m1.11324.m1,1
aten_0.1.m1.11326.m1,1
aten_0.1.m1.11327.m1,1
aten_0.1.m1.11328.m1,1
aten_0.1.m1.11329.m1,1
aten_0.1.m1.11332.m1,1
aten_0.1.m1.11336.m1,1
aten_0.1.m1.1134.m1,1
aten_0.1.m1.11340.m1,1
aten_0.1.m1.11343.m1,1
aten_0.1.m1.11345.m1,1
aten_0.1.m1.11346.m1,1
aten_0.1.m1.11348.m1,1
aten_0.1.m1.1137.m1,1
aten_0.1.m1.1138.m1,1
aten_0.1.m1.1141.m1,1
aten_0.1.m1.1143.m1,1
aten_0.1.m1.1144.m1,1
aten_0.1.m1.1145.m1,1
aten_0.1.m1.11450.m1,1
aten_0.1.m1.11467.m1,1
aten_0.1.m1.11468.m1,1
aten_0.1.m1.1147.m1,1
aten_0.1.m1.11471.m1,1
aten_0.1.m1.11480.m1,1
aten_0.1.m1.11486.m1,1
aten_0.1.m1.1149.m1,1
aten_0.1.m1.1150.m1,1
aten_0.1.m1.1151.m1,1
aten_0.1.m1.11514.m1,1
aten_0.1.m1.11527.m1,1
aten_0.1.m1.11531.m1,1
aten_0.1.m1.11533.m1,1
aten_0.1.m1.11539.m1,1
aten_0.1.m1.11540.m1,1
aten_0.1.m1.11541.m1,1
aten_0.1.m1.11545.m1,1
aten_0.1.m1.11547.m1,1
aten_0.1.m1.1155.m1,1
aten_0.1.m1.11551.m1,1
aten_0.1.m1.11552.m1,1
aten_0.1.m1.1156.m1,1
aten_0.1.m1.11560.m1,1
aten_0.1.m1.11561.m1,1
aten_0.1.m1.1157.m1,1
aten_0.1.m1.11573.m1,1
aten_0.1.m1.11583.m1,1
aten_0.1.m1.11589.m1,1
aten_0.1.m1.11590.m1,1
aten_0.1.m1.11595.m1,1
aten_0.1.m1.11597.m1,1
aten_0.1.m1.1169.m1,1
aten_0.1.m1.11696.m1,1
aten_0.1.m1.11698.m1,1
aten_0.1.m1.11702.m1,1
aten_0.1.m1.11704.m1,1
aten_0.1.m1.11708.m1,1
aten_0.1.m1.11712.m1,1
aten_0.1.m1.11719.m1,1
aten_0.1.m1.11720.m1,1
aten_0.1.m1.11724.m1,1
aten_0.1.m1.1173.m1,1
aten_0.1.m1.11730.m1,1
aten_0.1.m1.11743.m1,1
aten_0.1.m1.1176.m1,1
aten_0.1.m1.11760.m1,1
aten_0.1.m1.1177.m1,1
aten_0.1.m1.1178.m1,1
aten_0.1.m1.1179.m1,1
aten_0.1.m1.1180.m1,1
aten_0.1.m1.11803.m1,1
aten_0.1.m1.11821.m1,1
aten_0.1.m1.11832.m1,1
aten_0.1.m1.11833.m1,1
aten_0.1.m1.11834.m1,1
aten_0.1.m1.11835.m1,1
aten_0.1.m1.11836.m1,1
aten_0.1.m1.11844.m1,1
aten_0.1.m1.1185.m1,1
aten_0.1.m1.11851.m1,1
aten_0.1.m1.11852.m1,1
aten_0.1.m1.11853.m1,1
aten_0.1.m1.11855.m1,1
aten_0.1.m1.11856.m1,1
aten_0.1.m1.11860.m1,1
aten_0.1.m1.11874.m1,1
aten_0.1.m1.11875.m1,1
aten_0.1.m1.11881.m1,1
aten_0.1.m1.11883.m1,1
aten_0.1.m1.11892.m1,1
aten_0.1.m1.11896.m1,1
aten_0.1.m1.11899.m1,1
aten_0.1.m1.11903.m1,1
aten_0.1.m1.11904.m1,1
aten_0.1.m1.11907.m1,1
aten_0.1.m1.11908.m1,1
aten_0.1.m1.11909.m1,1
aten_0.1.m1.11914.m1,1
aten_0.1.m1.11915.m1,1
aten_0.1.m1.11919.m1,1
aten_0.1.m1.1192.m1,1
aten_0.1.m1.11935.m1,1
aten_0.1.m1.11937.m1,1
aten_0.1.m1.11938.m1,1
aten_0.1.m1.11939.m1,1
aten_0.1.m1.11941.m1,1
aten_0.1.m1.11944.m1,1
aten_0.1.m1.11945.m1,1
aten_0.1.m1.11946.m1,1
aten_0.1.m1.1195.m1,1
aten_0.1.m1.11951.m1,1
aten_0.1.m1.11952.m1,1
aten_0.1.m1.11953.m1,1
aten_0.1.m1.11954.m1,1
aten_0.1.m1.1196.m1,1
aten_0.1.m1.11965.m1,1
aten_0.1.m1.11966.m1,1
