gene	CoPt_E_rep1	CoPt_H_rep1	CoPt_E_rep2	CoPt_H_rep2	CoPt_E_rep3	CoPt_H_rep3	CoPt_E_rep4	CoPt_H_rep4	Falu_E_rep1	Falu_H_rep1	Falu_E_rep3	Falu_E_rep4	Falu_H_rep4	Falu_E_rep6	Falu_H_rep6	Ftele_H_rep1	Ftele_E_rep3	Ftele_H_rep3	Ftele_E_rep5	Ftele_H_rep5	Ftele_E_rep6	Ftele_H_rep6
aten_0.1.m1.25519.m1	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.32572.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.6370.m1	2684.00	3427.00	2174.00	1424.00	2937.00	4922.00	2511.00	2742.00	2674.00	1539.00	2313.00	2112.00	2207.00	1196.00	2272.00	1128.00	2233.00	1249.00	2206.00	2284.00	2600.00	2026.00
aten_0.1.m1.37701.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.31949.m1	1.24	8.41	1.27	26.75	7.00	8.04	5.00	0.00	4.95	0.00	21.87	7.07	3.26	0.00	0.00	0.00	12.54	0.00	29.01	36.70	1.00	2.60
aten_0.1.m1.22897.m1	24.35	22.00	36.98	2.97	82.86	27.00	45.66	23.28	61.72	48.08	35.00	57.03	18.70	23.98	23.70	9.10	27.67	8.00	18.79	4.90	16.08	29.00
aten_0.1.m1.1902.m1	0.00	1.00	5.01	1.00	0.00	1.00	0.00	1.00	1.02	0.00	0.00	0.99	0.00	0.00	0.00	0.50	2.00	0.00	0.45	0.00	0.00	0.00
aten_0.1.m1.28905.m1	0.00	0.00	3.18	0.00	8.04	0.00	7.54	6.35	1.53	0.00	0.00	5.63	0.00	2.39	1.75	0.00	0.90	0.00	0.00	1.00	0.00	0.00
aten_0.1.m1.23521.m1	4.36	1.00	5.54	0.00	0.00	1.77	12.03	1.00	3.42	0.00	7.63	7.76	0.00	3.78	1.92	9.74	6.95	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.27803.m1	70.00	36.00	165.00	23.00	152.00	44.00	435.00	14.00	119.00	26.00	63.00	86.00	23.00	101.00	4.00	24.00	190.00	143.00	307.00	50.00	349.00	82.00
aten_0.1.m1.2527.m1	0.00	0.00	0.43	0.00	1.01	4.00	1.88	1.00	2.00	1.00	5.72	2.00	2.00	3.02	0.00	1.00	4.36	0.00	0.00	2.04	1.05	1.01
aten_0.1.m1.4797.m1	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.65
aten_0.1.m1.11351.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.34346.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
aten_0.1.m1.8645.m1	1.00	0.00	1.00	0.00	1.00	0.00	2.00	0.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.25494.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.23512.m1	6.90	5.42	5.70	0.00	4.23	2.37	22.34	1.00	9.13	1.00	4.71	8.23	2.72	6.67	3.09	5.18	18.16	0.00	6.82	1.00	3.32	1.00
aten_0.1.m1.16835.m1	17.00	3.00	21.00	0.00	22.00	2.00	8.00	1.00	4.00	1.00	19.00	4.00	0.00	10.00	2.00	5.00	6.00	1.00	7.00	29.00	7.00	0.00
aten_0.1.m1.15202.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.3670.m1	8.77	21.00	7.23	13.42	21.43	33.38	8.10	16.19	9.47	17.10	16.51	23.54	18.07	10.86	40.88	24.40	3.89	7.94	1.00	7.83	1.86	21.54
aten_0.1.m1.29559.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.2180.m1	0.00	9.02	0.00	0.00	0.00	1.00	8.93	0.00	0.00	2.00	0.00	0.00	0.00	3.89	19.09	0.00	0.00	0.00	4.50	0.00	0.00	1.00
aten_0.1.m1.30036.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.31183.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.32768.m1	2.83	0.00	1.00	0.96	10.98	0.00	2.98	0.00	11.34	2.00	13.01	10.89	0.00	11.69	1.00	2.00	1.25	2.00	5.17	0.00	1.99	0.00
aten_0.1.m1.12259.m1	55.00	16.00	62.00	5.00	82.00	52.00	104.00	13.00	80.00	7.00	85.00	73.00	10.00	50.00	21.00	19.00	83.00	6.00	62.00	21.00	66.00	16.00
aten_0.1.m1.33022.m1	53.00	10.00	55.00	3.00	32.00	3.00	66.00	0.00	33.00	0.00	31.00	24.00	5.00	24.00	0.00	12.00	31.00	1.00	29.00	15.00	36.00	10.00
aten_0.1.m1.32663.m1	10.00	3.00	2.98	0.00	2.75	5.54	0.00	1.30	2.07	6.14	1.07	2.14	0.00	0.00	1.01	3.13	1.00	4.03	2.00	1.00	3.00	1.04
aten_0.1.m1.31624.m1	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.22919.m1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.17206.m1	343.00	64.00	412.00	11.00	558.00	101.00	347.00	28.00	390.00	32.00	302.00	409.00	42.00	296.00	80.00	45.00	247.00	32.00	135.00	129.00	116.00	31.00
aten_0.1.m1.16647.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.22515.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.14200.m1	10.00	0.00	8.00	1.00	11.00	5.00	15.00	6.00	8.00	0.00	19.00	8.00	0.00	12.00	7.00	10.00	6.00	3.00	3.00	9.00	0.00	1.00
aten_0.1.m1.540.m1	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	4.94	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	5.00
aten_0.1.m1.26993.m1	218.00	397.00	337.00	265.00	600.00	732.00	547.00	315.00	435.00	313.00	442.00	450.00	274.00	301.00	498.00	285.00	330.00	208.00	303.00	377.00	284.00	304.00
aten_0.1.m1.26666.m1	3.00	0.00	20.56	0.00	0.00	0.00	20.91	0.00	2.00	0.00	2.00	10.17	0.00	0.00	0.00	0.00	14.42	1.99	2.47	0.00	11.76	2.00
aten_0.1.m1.21121.m1	1.00	7.00	1.00	1.00	21.00	3.00	2.00	1.00	4.00	3.00	4.00	2.00	0.00	9.00	0.00	2.00	2.00	4.00	1.00	2.00	5.00	4.00
aten_0.1.m1.18162.m1	124.75	60.59	60.43	0.00	31.42	10.14	417.53	2.49	38.17	0.00	83.99	57.97	0.00	0.00	4.46	0.00	259.55	102.44	691.74	65.54	107.86	9.24
aten_0.1.m1.11401.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.72	0.00	0.00	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.15757.m1	0.00	0.00	0.00	0.00	1.44	0.00	1.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.7618.m1	129.23	9.13	37.36	4.99	445.46	98.41	436.44	7.29	151.29	4.74	105.89	18.04	0.00	60.93	14.60	10.76	45.72	13.96	74.49	34.48	14.55	7.00
aten_0.1.m1.4504.m1	35.00	0.00	115.23	2.00	171.00	9.00	83.89	4.00	110.97	5.00	36.00	72.25	1.00	59.93	1.00	3.02	11.06	0.00	23.65	13.45	5.00	3.00
aten_0.1.m1.3324.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.7221.m1	234.00	325.00	372.00	246.00	279.00	248.00	364.00	34.00	232.00	24.00	615.00	257.00	33.00	148.00	46.00	176.00	179.00	41.00	157.00	142.00	652.00	165.00
aten_0.1.m1.7604.m1	193.00	124.00	245.00	125.00	297.00	153.00	573.00	99.00	211.00	42.00	268.00	291.00	93.00	262.00	107.00	93.00	290.00	107.00	198.00	155.00	192.00	21.00
aten_0.1.m1.31654.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.8937.m1	539.97	822.03	868.88	1092.33	1432.80	2004.13	1210.13	309.45	606.43	671.04	920.87	1544.69	956.85	852.01	849.50	1012.17	784.07	907.99	661.11	924.46	1358.87	729.86
aten_0.1.m1.10707.m1	4992.00	7133.00	3599.00	7842.00	5525.00	7760.00	8278.00	5389.00	3557.00	6378.00	5093.00	3745.00	5214.00	3419.00	4260.00	6618.00	3692.00	4915.00	3982.00	4769.00	4691.00	4579.00
aten_0.1.m1.20391.m1	0.00	0.00	1.00	0.00	1.00	0.00	10.85	0.00	3.38	4.01	1.00	22.27	11.35	23.92	10.14	56.65	3.77	1.21	9.77	2.21	9.38	10.16
aten_0.1.m1.5417.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.25024.m1	335.25	29.54	371.42	5.26	505.78	29.98	340.75	5.04	291.84	10.00	173.96	278.32	14.92	169.94	16.00	79.77	115.69	7.51	179.20	24.12	80.52	14.89
aten_0.1.m1.15109.m1	0.00	5.00	0.00	0.00	1.00	0.00	0.00	1.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.7696.m1	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00
aten_0.1.m1.461.m1	0.00	2.00	0.00	1.00	6.00	18.00	0.00	15.00	1.00	2.00	0.00	3.00	3.00	1.00	6.00	4.00	0.00	4.00	0.00	4.00	0.00	1.00
aten_0.1.m1.28945.m1	0.99	3.37	1.13	0.00	1.28	0.00	0.00	0.00	3.09	0.00	0.00	7.46	0.00	0.00	0.00	0.00	0.95	0.00	0.00	1.84	2.00	2.03
aten_0.1.m1.1765.m1	1.00	13.45	1.00	7.63	0.00	1.00	14.39	4.78	0.00	9.04	0.00	15.19	15.40	8.03	4.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.8803.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.34905.m1	388.00	538.00	548.00	319.00	768.00	1133.00	1070.00	446.00	535.02	319.00	677.00	622.70	366.01	451.00	666.00	431.00	558.00	353.07	400.00	575.00	455.17	468.00
aten_0.1.m1.7806.m1	312.00	219.00	315.00	54.00	436.00	211.00	510.00	82.00	303.00	56.00	343.00	331.00	43.00	251.00	150.00	108.00	279.00	62.00	251.00	184.00	190.00	69.00
aten_0.1.m1.6144.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.1169.m1	35.00	17.00	45.00	2.00	83.00	9.00	39.00	1.00	49.00	0.00	41.00	66.00	0.00	79.00	11.00	4.00	21.00	0.00	22.00	10.00	25.00	3.00
aten_0.1.m1.8514.m1	3.14	0.00	2.45	0.00	0.91	4.63	1.05	0.00	0.00	2.24	3.74	3.73	1.06	0.00	3.71	0.00	0.00	1.73	1.31	0.00	1.19	0.00
aten_0.1.m1.734.m1	39.00	19.00	58.00	4.00	104.00	14.00	72.00	2.00	79.00	4.00	104.00	115.00	5.00	64.00	3.00	10.00	41.00	8.00	67.00	30.00	58.00	10.00
aten_0.1.m1.32807.m1	12.09	403.37	31.20	178.89	10.07	400.84	1.00	144.80	1.01	189.87	7.07	24.32	3607.51	12.09	1829.02	342.06	0.00	145.39	4.03	717.00	8.04	397.45
aten_0.1.m1.23578.m1	2.00	4.00	3.00	0.00	0.00	6.00	7.00	3.00	18.00	6.00	0.00	0.00	0.00	3.00	8.00	9.00	19.00	137.00	2.00	1.00	23.00	2.00
aten_0.1.m1.21092.m1	195.81	64.50	171.77	5.00	472.15	281.90	144.33	118.24	462.89	69.00	239.60	466.58	105.00	590.80	263.58	89.00	158.62	162.39	81.65	142.60	139.57	85.67
aten_0.1.m1.1621.m1	2763.00	3604.00	3829.00	985.00	5867.00	6433.00	4916.00	1134.00	4777.00	1162.00	4922.00	4475.00	1715.00	3854.00	3104.00	2464.00	3551.00	1418.00	2834.00	1784.00	3012.00	1457.00
aten_0.1.m1.31761.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.8628.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.26463.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.25272.m1	395.69	394.62	147.48	178.68	973.53	601.03	330.37	461.96	391.63	318.68	501.09	703.79	678.86	344.77	181.86	343.49	256.57	423.08	149.04	211.68	115.67	306.07
aten_0.1.m1.11958.m1	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	4.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00
aten_0.1.m1.12970.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.14164.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.32634.m1	0.00	0.00	3.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.59	0.00	0.00	0.00
aten_0.1.m1.26226.m1	36.00	8.00	23.00	0.00	76.00	18.00	37.00	12.00	25.00	0.00	31.00	30.00	5.00	21.00	7.00	8.00	11.00	0.00	20.00	6.00	11.00	4.00
aten_0.1.m1.22442.m1	0.00	0.00	1.55	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.25987.m1	0.00	28.16	0.00	3.45	0.00	0.90	1.03	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.00	3.37	0.00	7.37	0.00	4.19	0.00	5.82
aten_0.1.m1.13430.m1	2.00	1.00	3.00	1.00	8.00	5.00	1.00	0.00	1.00	1.00	0.00	2.00	0.00	4.00	1.00	0.00	0.00	1.00	0.00	4.00	0.00	4.00
aten_0.1.m1.15739.m1	0.00	0.00	0.00	0.00	5.41	0.00	2.00	0.00	0.00	0.00	0.00	4.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00
aten_0.1.m1.12703.m1	6.00	8.00	5.00	7.00	28.00	33.00	14.00	5.00	15.00	12.00	9.00	17.00	16.00	8.00	13.00	18.00	11.00	19.00	9.00	13.00	14.00	13.00
aten_0.1.m1.38360.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.26671.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.18566.m1	1126.00	907.00	1212.00	216.00	1683.00	1001.00	1803.00	497.00	1086.00	358.00	1422.00	952.00	424.00	993.00	372.00	610.00	848.00	403.00	1394.00	533.00	1478.00	478.00
aten_0.1.m1.14551.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.28233.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.10349.m1	0.00	0.00	6.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	9.00	0.00	0.00	2.00	7.00	0.00	0.00	0.00	0.00
aten_0.1.m1.30179.m1	4.80	1.00	0.84	0.00	66.06	1.40	49.16	0.00	0.00	0.00	1.37	0.00	0.00	46.39	0.00	0.00	22.08	0.00	0.00	0.00	13.76	0.00
aten_0.1.m1.11247.m1	0.00	7.00	1.00	3.00	1.00	2.00	0.00	5.00	0.00	12.00	0.00	0.00	12.00	0.00	1.00	3.00	1.00	1.00	0.00	0.00	2.00	7.00
aten_0.1.m1.7780.m1	5.00	0.00	2.00	0.00	6.00	0.00	6.00	1.00	5.00	2.00	8.00	10.00	1.00	8.00	1.00	0.00	10.00	3.00	4.00	0.00	1.00	0.00
aten_0.1.m1.4588.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.1217.m1	183.00	217.00	233.00	91.00	506.00	496.00	391.00	154.00	264.00	108.00	378.00	387.00	190.00	295.00	263.00	188.00	264.00	101.00	170.00	279.00	199.00	179.00
aten_0.1.m1.37993.m1	40.15	9.87	75.99	7.86	93.47	34.76	133.88	2.32	40.68	5.37	77.12	52.38	15.57	89.15	16.71	11.39	35.65	3.00	37.43	12.36	29.25	4.42
aten_0.1.m1.17810.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.37347.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.36011.m1	2.29	79.11	4.48	30.35	57.12	412.00	8.09	102.01	4.67	73.47	462.08	210.58	124.90	62.92	132.38	82.95	8.03	35.28	50.19	163.61	173.64	1735.73
aten_0.1.m1.31110.m1	101.00	34.00	57.00	5.00	190.00	62.00	167.00	34.00	147.00	7.00	156.00	108.00	23.00	128.00	31.00	28.00	128.00	22.00	100.00	49.00	93.00	19.00
aten_0.1.m1.4807.m1	4.00	2.00	0.00	0.00	0.00	0.00	0.00	1.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	7.00	0.00	0.00
aten_0.1.m1.29300.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.14472.m1	36.00	11.00	83.00	0.00	93.00	47.00	84.00	4.00	195.00	7.00	37.00	64.00	3.00	59.00	33.00	5.00	65.00	7.00	34.00	6.00	42.00	21.00
aten_0.1.m1.22828.m1	132.00	181.00	154.00	180.00	263.00	195.00	209.00	78.00	164.00	92.00	121.00	228.00	106.00	137.00	173.00	97.00	111.00	80.00	97.00	148.00	66.00	116.00
aten_0.1.m1.28644.m1	253.00	594.00	377.00	136.00	608.00	1349.00	623.00	332.00	412.00	216.00	263.00	472.00	621.00	319.00	936.00	360.00	287.00	488.00	226.00	372.00	208.00	492.00
aten_0.1.m1.2990.m1	338.00	114.00	281.00	51.00	651.00	128.00	431.00	52.00	387.00	34.00	747.00	328.00	88.00	316.00	71.00	85.00	175.00	47.00	649.00	101.00	258.00	26.00
aten_0.1.m1.25851.m1	1.00	1.00	1.00	2.00	2.00	1.00	0.00	0.00	2.00	3.00	1.00	2.00	0.00	2.00	5.00	0.00	4.00	12.00	2.00	1.00	0.00	1.00
aten_0.1.m1.5686.m1	294.00	14.00	325.00	6.00	465.00	16.00	330.00	11.00	229.00	7.00	219.00	308.00	11.00	211.00	26.00	48.00	171.00	6.00	249.00	42.00	163.00	9.00
aten_0.1.m1.12662.m1	2.34	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	2.17	3.00	0.00	0.00	0.00	1.97	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.9329.m1	90.00	59.00	58.00	13.00	144.00	63.00	102.00	25.00	73.00	12.00	114.00	60.00	22.00	50.00	21.00	46.00	55.00	6.00	97.00	20.00	78.00	19.00
aten_0.1.m1.11500.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.29424.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.24623.m1	0.00	0.00	0.00	0.00	0.00	0.00	2.48	1.00	5.80	4.25	0.00	0.00	0.00	0.00	0.00	6.63	2.01	0.00	0.00	1.05	1.99	1.99
aten_0.1.m1.2293.m1	2.00	0.00	15.58	0.90	14.00	0.00	0.00	0.00	54.68	7.00	79.45	73.08	11.87	1.00	0.00	0.00	0.00	0.00	17.68	8.49	9.00	2.00
aten_0.1.m1.17565.m1	44.40	22.84	6.56	0.00	10.24	8.16	3.26	0.00	8.96	1.45	13.01	9.08	0.81	10.32	0.00	1.09	8.13	1.01	20.28	15.90	2.32	0.00
aten_0.1.m1.31253.m1	33.00	1.00	60.00	0.00	58.00	1.00	76.00	0.00	43.00	3.00	14.00	50.00	0.00	25.00	0.00	21.00	12.00	0.00	19.00	10.00	9.00	0.00
aten_0.1.m1.801.m1	549.00	194.00	398.00	90.00	324.00	213.00	649.00	171.00	354.00	64.00	418.00	479.00	63.00	384.00	183.00	102.00	327.00	85.00	268.00	113.00	272.00	49.00
aten_0.1.m1.27966.m1	7.10	3.00	2.03	5.46	5.00	2.98	4.10	7.14	9.14	7.07	13.36	8.04	6.04	15.14	2.00	10.01	11.34	1.00	31.86	2.00	22.42	5.00
aten_0.1.m1.15155.m1	1.00	0.00	0.00	0.00	4.00	0.00	5.00	0.00	4.00	0.00	8.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00
aten_0.1.m1.6638.m1	0.00	1.00	0.00	0.00	0.00	0.00	2.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.36444.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.32167.m1	492.87	23.26	89.50	9.00	77.57	63.94	198.04	31.09	25.90	1.00	123.91	115.35	59.22	112.27	15.97	7.92	5.10	2.00	65.84	10.11	24.63	9.00
aten_0.1.m1.20238.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.38029.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.13854.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.27434.m1	2.00	20.00	2.00	1.00	23.00	17.00	1.00	4.00	8.00	8.00	0.00	1.00	0.00	1.00	2.00	1.00	4.00	5.00	4.00	10.00	0.00	6.00
aten_0.1.m1.5570.m1	78.00	218.00	88.00	137.00	177.00	465.00	265.00	113.00	113.00	152.00	215.00	262.00	280.00	149.00	321.00	303.00	101.00	225.00	97.00	255.00	183.00	260.00
aten_0.1.m1.35506.m1	272.00	71.00	362.00	22.00	393.00	130.00	452.00	29.00	293.00	12.00	297.00	199.00	10.00	209.00	30.00	45.00	174.00	15.00	156.00	92.00	135.00	29.00
aten_0.1.m1.21358.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.27	0.00	0.00	0.00
aten_0.1.m1.8109.m1	259.00	260.00	491.00	56.00	742.00	359.00	545.00	59.00	566.00	60.00	379.00	530.00	91.00	397.00	172.00	125.00	331.00	71.00	199.00	133.00	148.00	52.00
aten_0.1.m1.4664.m1	34.02	22.04	58.51	6.87	94.43	41.99	91.92	9.96	94.96	16.59	35.79	48.69	6.84	34.05	23.12	10.04	77.94	25.02	32.74	15.95	74.31	26.75
aten_0.1.m1.2525.m1	41.42	10.34	12.66	1.00	29.75	17.01	39.10	8.45	36.10	2.30	0.00	26.40	10.39	30.15	7.96	5.97	16.73	2.70	22.03	8.54	57.68	2.04
aten_0.1.m1.12238.m1	1.00	3.00	0.00	0.00	6.00	2.00	1.00	0.00	5.00	1.00	1.00	2.00	0.00	3.00	0.00	0.00	0.00	0.00	4.00	0.00	3.00	0.00
