gene	CoPt_E_rep1	CoPt_H_rep1	CoPt_E_rep2	CoPt_H_rep2	CoPt_E_rep3	CoPt_H_rep3	CoPt_E_rep4	CoPt_H_rep4	Falu_E_rep1	Falu_H_rep1	Falu_E_rep3	Falu_E_rep4	Falu_H_rep4	Falu_E_rep6	Falu_H_rep6	Ftele_H_rep1	Ftele_E_rep3	Ftele_H_rep3	Ftele_E_rep5	Ftele_H_rep5	Ftele_E_rep6	Ftele_H_rep6
aten_0.1.m1.6734.m1	0.00	0.22	12.33	0.00	0.00	1.67	5.26	1.78	0.00	0.00	7.58	2.34	0.00	0.00	1.08	0.00	4.26	0.00	3.65	7.11	0.00	4.76
aten_0.1.m1.27364.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.33804.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.15013.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.35472.m1	45.57	41.82	451.87	342.77	731.13	523.93	338.40	184.61	493.95	258.95	330.37	232.68	94.67	408.87	573.25	378.68	339.71	196.31	91.91	160.13	312.57	307.08
aten_0.1.m1.29943.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.46	2.65	0.00	0.00	0.00	0.00	0.00	12.19	0.00	0.00	0.00	0.00	0.00	0.00	4.51
aten_0.1.m1.1200.m1	53.00	80.00	133.00	172.00	62.00	171.00	71.00	44.00	152.00	193.00	102.00	143.00	250.00	32.00	107.00	18.00	146.00	230.00	53.00	366.00	24.00	239.00
aten_0.1.m1.10935.m1	686.00	79.00	715.00	20.00	706.00	54.00	969.00	40.00	431.00	27.00	612.00	581.00	45.00	397.00	43.00	92.00	419.00	69.00	343.00	124.00	533.00	104.00
aten_0.1.m1.25030.m1	40.00	8.00	83.00	7.00	143.00	39.00	244.00	3.00	125.00	2.00	118.00	122.00	9.00	107.00	13.00	10.00	89.00	9.00	54.00	88.00	38.00	4.00
aten_0.1.m1.3728.m1	387.00	51.00	356.00	14.00	510.00	89.00	420.00	12.00	258.00	9.00	339.00	254.00	21.00	204.00	36.00	28.00	163.00	37.00	255.00	68.00	158.00	16.00
aten_0.1.m1.25699.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.20487.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
aten_0.1.m1.5003.m1	8.00	5.00	17.00	0.00	12.00	3.00	9.00	1.00	8.00	0.00	8.00	20.00	2.00	9.00	1.00	0.00	0.00	0.00	1.00	2.00	1.00	1.00
aten_0.1.m1.32268.m1	169.00	34.00	127.00	42.00	315.00	169.00	139.00	38.00	147.00	23.00	113.00	163.00	43.00	121.00	41.00	57.00	40.00	16.00	202.00	72.00	146.00	38.00
aten_0.1.m1.7479.m1	17.00	2.00	15.00	0.00	19.00	2.00	15.00	1.00	40.00	0.00	23.00	14.00	2.00	6.00	23.00	1.00	12.00	1.00	13.00	6.00	3.00	1.00
